,0-RawData,1-FilterAndTrim,2-ErrorModel,3.1-Dereplication,3.2-Denoising,4-ESV,5-MultipleSequenceAlignment,6-ChimeraRemoval,7-PreClassification,8-Clustering_100,9-TaxaFilter_100,10-MultipletonsFilter_100,11-Subsampling_100,12-Lulu_100
18c,62360,54811,54811,54811 (26098 uniques),52554 (555 uniques),49035 (530 uniques),49023 (466 uniques),48648 (452 uniques),48648 (452 uniques),48648 (452 uniques),48061 (420 uniques),48053 (416 uniques),4999 (345 uniques),4999 (313 uniques)
19_AM21,93731,83433,83433,83433 (24036 uniques),80568 (919 uniques),76525 (708 uniques),76106 (687 uniques),74053 (651 uniques),74053 (651 uniques),74053 (651 uniques),71861 (621 uniques),71841 (611 uniques),4999 (370 uniques),4999 (364 uniques)
19_MSCAII,26977,23585,23585,23585 (9800 uniques),22923 (205 uniques),21696 (229 uniques),21696 (187 uniques),21448 (174 uniques),21448 (174 uniques),21448 (174 uniques),21101 (166 uniques),21099 (165 uniques),4999 (154 uniques),4999 (136 uniques)
19_T,24146,20849,20849,20849 (8700 uniques),20212 (191 uniques),18501 (194 uniques),18499 (183 uniques),17666 (156 uniques),17666 (156 uniques),17666 (156 uniques),17639 (153 uniques),17632 (149 uniques),4999 (140 uniques),4999 (122 uniques)
19c,77777,49608,49608,49608 (20318 uniques),49035 (400 uniques),47525 (408 uniques),47525 (377 uniques),47503 (375 uniques),47503 (375 uniques),47503 (375 uniques),47189 (359 uniques),47189 (359 uniques),4999 (299 uniques),4999 (271 uniques)
1_AM21,63203,55624,55624,55624 (24088 uniques),52914 (780 uniques),48620 (626 uniques),48351 (611 uniques),47053 (571 uniques),47053 (571 uniques),47053 (571 uniques),45025 (551 uniques),45017 (547 uniques),4999 (429 uniques),4999 (421 uniques)
1_MSCAII,50279,44815,44815,44815 (18430 uniques),43534 (356 uniques),41499 (402 uniques),41486 (336 uniques),40668 (312 uniques),40668 (312 uniques),40668 (312 uniques),39635 (267 uniques),39630 (264 uniques),4999 (223 uniques),4999 (186 uniques)
1c,80527,70566,70566,70566 (31249 uniques),67469 (676 uniques),62839 (647 uniques),62794 (580 uniques),61439 (541 uniques),61439 (541 uniques),61439 (541 uniques),60496 (504 uniques),60472 (492 uniques),4999 (365 uniques),4999 (328 uniques)
1s,18044,15082,15082,15082 (11664 uniques),12769 (386 uniques),8260 (251 uniques),8260 (243 uniques),8256 (241 uniques),8256 (241 uniques),8256 (241 uniques),8209 (231 uniques),8197 (225 uniques),4999 (225 uniques),4999 (211 uniques)
20_AM21,61138,54760,54760,54760 (14514 uniques),54361 (454 uniques),53641 (433 uniques),53616 (421 uniques),53365 (408 uniques),53365 (408 uniques),53365 (408 uniques),51581 (381 uniques),51577 (379 uniques),4999 (293 uniques),4999 (281 uniques)
20_MSCAII,29720,26109,26109,26109 (11060 uniques),25335 (217 uniques),24075 (238 uniques),24075 (202 uniques),23893 (192 uniques),23893 (192 uniques),23893 (192 uniques),23475 (181 uniques),23475 (181 uniques),4999 (165 uniques),4999 (149 uniques)
20_T,25242,22139,22139,22139 (10376 uniques),21128 (249 uniques),18883 (225 uniques),18862 (208 uniques),18190 (190 uniques),18190 (190 uniques),18190 (190 uniques),18097 (187 uniques),18095 (186 uniques),4999 (178 uniques),4999 (165 uniques)
20c,58937,50072,50072,50072 (20322 uniques),49497 (346 uniques),47434 (332 uniques),47420 (313 uniques),46918 (290 uniques),46918 (290 uniques),46918 (290 uniques),46410 (272 uniques),46410 (272 uniques),4999 (233 uniques),4999 (220 uniques)
21_AM21,108655,97410,97410,97410 (26119 uniques),94596 (918 uniques),90845 (750 uniques),90552 (728 uniques),88109 (671 uniques),88109 (671 uniques),88109 (671 uniques),87037 (648 uniques),87010 (633 uniques),4999 (352 uniques),4999 (344 uniques)
21_MSCAII,37538,32241,32241,32241 (12133 uniques),31648 (141 uniques),30330 (148 uniques),30330 (136 uniques),29025 (102 uniques),29025 (102 uniques),29025 (102 uniques),29008 (100 uniques),29008 (100 uniques),4999 (94 uniques),4999 (75 uniques)
21_T,24950,21590,21590,21590 (9738 uniques),20440 (227 uniques),16993 (195 uniques),16993 (164 uniques),16592 (157 uniques),16592 (157 uniques),16592 (157 uniques),16513 (154 uniques),16509 (152 uniques),4999 (144 uniques),4999 (128 uniques)
21c,100612,88213,88213,88213 (36064 uniques),85666 (695 uniques),80882 (760 uniques),80803 (627 uniques),78556 (576 uniques),78556 (576 uniques),78556 (576 uniques),77483 (528 uniques),77477 (525 uniques),4999 (398 uniques),4999 (343 uniques)
22_AM21,103937,89876,89876,89876 (30934 uniques),87230 (801 uniques),82167 (677 uniques),82112 (652 uniques),78554 (553 uniques),78554 (553 uniques),78554 (553 uniques),78106 (533 uniques),78088 (524 uniques),4999 (310 uniques),4999 (287 uniques)
22_MSCAII,45519,38781,38781,38781 (13746 uniques),38122 (157 uniques),36575 (159 uniques),36575 (151 uniques),35229 (113 uniques),35229 (113 uniques),35229 (113 uniques),35209 (110 uniques),35207 (109 uniques),4999 (100 uniques),4999 (80 uniques)
22_T,38840,34293,34293,34293 (14563 uniques),33269 (299 uniques),30537 (285 uniques),30537 (264 uniques),29588 (233 uniques),29588 (233 uniques),29588 (233 uniques),29543 (231 uniques),29542 (230 uniques),4999 (205 uniques),4999 (188 uniques)
22c,83253,73795,73795,73795 (32570 uniques),71144 (704 uniques),66682 (675 uniques),66663 (597 uniques),65829 (573 uniques),65829 (573 uniques),65829 (573 uniques),65482 (554 uniques),65462 (543 uniques),4999 (438 uniques),4999 (398 uniques)
23_AM21,94215,82549,82549,82549 (36096 uniques),79207 (1209 uniques),73115 (1027 uniques),72831 (997 uniques),71557 (954 uniques),71557 (954 uniques),71557 (954 uniques),70687 (917 uniques),70669 (907 uniques),4999 (612 uniques),4999 (589 uniques)
23_MSCAII,53562,47167,47167,47167 (15313 uniques),46606 (214 uniques),44583 (221 uniques),44583 (203 uniques),41861 (138 uniques),41861 (138 uniques),41861 (138 uniques),41861 (138 uniques),41861 (138 uniques),4999 (125 uniques),4999 (93 uniques)
23_T,43933,37922,37922,37922 (13533 uniques),36989 (246 uniques),34661 (246 uniques),34661 (227 uniques),33340 (194 uniques),33340 (194 uniques),33340 (194 uniques),33257 (192 uniques),33252 (189 uniques),4999 (163 uniques),4999 (141 uniques)
23c,107219,81091,81091,81091 (33028 uniques),78921 (680 uniques),74994 (696 uniques),74972 (624 uniques),73551 (585 uniques),73551 (585 uniques),73551 (585 uniques),72926 (546 uniques),72899 (532 uniques),4999 (381 uniques),4999 (347 uniques)
24_AM21,79595,69724,69724,69724 (29616 uniques),66569 (996 uniques),60988 (817 uniques),60827 (795 uniques),59273 (744 uniques),59273 (744 uniques),59273 (744 uniques),58258 (714 uniques),58258 (714 uniques),4999 (509 uniques),4999 (491 uniques)
24_MSCAII,46499,40445,40445,40445 (16097 uniques),39761 (208 uniques),37434 (243 uniques),37434 (205 uniques),35433 (155 uniques),35433 (155 uniques),35433 (155 uniques),35420 (152 uniques),35420 (152 uniques),4999 (141 uniques),4999 (103 uniques)
