	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_97	9-TaxaFilter_97	10-MultipletonsFilter_97	11-Subsampling_97	12-Lulu_97
22_T	38840	34293	34293	34293 (14563 uniques)	33269 (299 uniques)	30537 (285 uniques)	30537 (264 uniques)	29588 (233 uniques)	29588 (233 uniques)	29588 (160 uniques)	29543 (158 uniques)	29543 (158 uniques)	4999 (146 uniques)	4999 (144 uniques)
22c	83253	73795	73795	73795 (32570 uniques)	71144 (704 uniques)	66682 (675 uniques)	66663 (597 uniques)	65829 (573 uniques)	65829 (573 uniques)	65829 (410 uniques)	65482 (391 uniques)	65465 (382 uniques)	4999 (289 uniques)	4999 (289 uniques)
23_AM21	94215	82549	82549	82549 (36096 uniques)	79207 (1209 uniques)	73115 (1027 uniques)	72831 (997 uniques)	71557 (954 uniques)	71557 (954 uniques)	71557 (809 uniques)	70687 (773 uniques)	70671 (765 uniques)	4999 (496 uniques)	4999 (495 uniques)
23_MSCAII	53562	47167	47167	47167 (15313 uniques)	46606 (214 uniques)	44583 (221 uniques)	44583 (203 uniques)	41861 (138 uniques)	41861 (138 uniques)	41861 (86 uniques)	41861 (86 uniques)	41861 (86 uniques)	4999 (76 uniques)	4999 (76 uniques)
23_T	43933	37922	37922	37922 (13533 uniques)	36989 (246 uniques)	34661 (246 uniques)	34661 (227 uniques)	33340 (194 uniques)	33340 (194 uniques)	33340 (122 uniques)	33257 (120 uniques)	33257 (120 uniques)	4999 (105 uniques)	4999 (104 uniques)
23c	107219	81091	81091	81091 (33028 uniques)	78921 (680 uniques)	74994 (696 uniques)	74972 (624 uniques)	73551 (585 uniques)	73551 (585 uniques)	73551 (418 uniques)	72926 (384 uniques)	72910 (376 uniques)	4999 (236 uniques)	4999 (236 uniques)
24_AM21	79595	69724	69724	69724 (29616 uniques)	66569 (996 uniques)	60988 (817 uniques)	60827 (795 uniques)	59273 (744 uniques)	59273 (744 uniques)	59273 (646 uniques)	58258 (618 uniques)	58258 (618 uniques)	4999 (422 uniques)	4999 (421 uniques)
24_MSCAII	46499	40445	40445	40445 (16097 uniques)	39761 (208 uniques)	37434 (243 uniques)	37434 (205 uniques)	35433 (155 uniques)	35433 (155 uniques)	35433 (95 uniques)	35420 (92 uniques)	35420 (92 uniques)	4999 (86 uniques)	4999 (86 uniques)
24_T	33654	28442	28442	28442 (12599 uniques)	27294 (296 uniques)	24383 (265 uniques)	24383 (250 uniques)	23172 (223 uniques)	23172 (223 uniques)	23172 (152 uniques)	23047 (146 uniques)	23047 (146 uniques)	4999 (132 uniques)	4999 (132 uniques)
24c	68507	58650	58650	58650 (26056 uniques)	57383 (532 uniques)	54334 (494 uniques)	54301 (459 uniques)	53231 (428 uniques)	53231 (428 uniques)	53231 (336 uniques)	52700 (312 uniques)	52698 (311 uniques)	4999 (247 uniques)	4999 (247 uniques)
25_AM21	84947	74662	74662	74662 (30245 uniques)	71556 (1068 uniques)	66321 (878 uniques)	66118 (854 uniques)	64446 (798 uniques)	64446 (798 uniques)	64446 (708 uniques)	62933 (679 uniques)	62907 (666 uniques)	4999 (450 uniques)	4999 (448 uniques)
25_MSCAII	47186	41375	41375	41375 (17650 uniques)	40437 (309 uniques)	38525 (348 uniques)	38513 (295 uniques)	37963 (277 uniques)	37963 (277 uniques)	37963 (188 uniques)	37710 (175 uniques)	37706 (173 uniques)	4999 (150 uniques)	4999 (150 uniques)
25_T	38843	16979	16979	16979 (7525 uniques)	16229 (177 uniques)	14632 (156 uniques)	14632 (143 uniques)	13831 (125 uniques)	13831 (125 uniques)	13831 (85 uniques)	13594 (79 uniques)	13590 (77 uniques)	4999 (74 uniques)	4999 (74 uniques)
25c	76588	65940	65940	65940 (31432 uniques)	63722 (702 uniques)	59018 (678 uniques)	58995 (605 uniques)	58493 (589 uniques)	58493 (589 uniques)	58493 (420 uniques)	57306 (389 uniques)	57296 (384 uniques)	4999 (288 uniques)	4999 (287 uniques)
26_AM21	83950	74744	74744	74744 (28182 uniques)	72004 (996 uniques)	67461 (861 uniques)	67282 (841 uniques)	65807 (784 uniques)	65807 (784 uniques)	65807 (659 uniques)	64202 (637 uniques)	64188 (630 uniques)	4999 (428 uniques)	4999 (426 uniques)
26_MSCAII	28429	24384	24384	24384 (11602 uniques)	23468 (239 uniques)	21983 (250 uniques)	21967 (214 uniques)	21696 (203 uniques)	21696 (203 uniques)	21696 (142 uniques)	21522 (132 uniques)	21520 (131 uniques)	4999 (124 uniques)	4999 (124 uniques)
26_T	23267	20467	20467	20467 (7822 uniques)	19845 (157 uniques)	18610 (144 uniques)	18610 (137 uniques)	18020 (126 uniques)	18020 (126 uniques)	18020 (89 uniques)	18017 (88 uniques)	18013 (86 uniques)	4999 (80 uniques)	4999 (80 uniques)
26c	91001	59928	59928	59928 (27804 uniques)	57439 (679 uniques)	53683 (619 uniques)	53614 (559 uniques)	53223 (547 uniques)	53223 (547 uniques)	53223 (416 uniques)	51515 (364 uniques)	51505 (359 uniques)	4999 (286 uniques)	4999 (286 uniques)
27_AM21	90472	79946	79946	79946 (29298 uniques)	77051 (1048 uniques)	72289 (857 uniques)	72135 (838 uniques)	71131 (797 uniques)	71131 (797 uniques)	71131 (677 uniques)	70229 (647 uniques)	70217 (641 uniques)	4999 (404 uniques)	4999 (404 uniques)
27_MSCAII	24064	20796	20796	20796 (7760 uniques)	20389 (113 uniques)	19536 (107 uniques)	19536 (99 uniques)	18849 (79 uniques)	18849 (79 uniques)	18849 (57 uniques)	18844 (56 uniques)	18844 (56 uniques)	4999 (53 uniques)	4999 (53 uniques)
27_T	18445	15520	15520	15520 (6883 uniques)	14880 (179 uniques)	13496 (151 uniques)	13496 (139 uniques)	13169 (127 uniques)	13169 (127 uniques)	13169 (96 uniques)	13109 (93 uniques)	13107 (92 uniques)	4999 (88 uniques)	4999 (88 uniques)
27c	66604	57542	57542	57542 (24260 uniques)	55842 (529 uniques)	52969 (527 uniques)	52967 (459 uniques)	52677 (440 uniques)	52677 (440 uniques)	52677 (302 uniques)	52463 (288 uniques)	52449 (281 uniques)	4999 (223 uniques)	4999 (223 uniques)
28_AM21	182247	77280	77280	77280 (28226 uniques)	74315 (1340 uniques)	70036 (1098 uniques)	69874 (1072 uniques)	68963 (1039 uniques)	68963 (1039 uniques)	68963 (925 uniques)	64872 (882 uniques)	64850 (871 uniques)	4999 (547 uniques)	4999 (547 uniques)
28_MSCAII	30470	25638	25638	25638 (9848 uniques)	25144 (120 uniques)	23677 (119 uniques)	23677 (110 uniques)	22898 (90 uniques)	22898 (90 uniques)	22898 (65 uniques)	22887 (63 uniques)	22887 (63 uniques)	4999 (59 uniques)	4999 (58 uniques)
28_T	32849	28277	28277	28277 (10957 uniques)	27399 (256 uniques)	25026 (258 uniques)	25023 (236 uniques)	23398 (195 uniques)	23398 (195 uniques)	23398 (131 uniques)	23315 (125 uniques)	23313 (124 uniques)	4999 (111 uniques)	4999 (111 uniques)
28c	50686	43878	43878	43878 (18708 uniques)	42010 (608 uniques)	39877 (521 uniques)	39837 (484 uniques)	39743 (481 uniques)	39743 (481 uniques)	39743 (389 uniques)	39234 (363 uniques)	39216 (354 uniques)	4999 (278 uniques)	4999 (278 uniques)
29_AM21	124959	110232	110232	110232 (39114 uniques)	107144 (1029 uniques)	100092 (881 uniques)	100028 (854 uniques)	96555 (747 uniques)	96555 (747 uniques)	96555 (624 uniques)	96132 (604 uniques)	96118 (597 uniques)	4999 (319 uniques)	4999 (318 uniques)
29_MSCAII	33599	28306	28306	28306 (10584 uniques)	27872 (130 uniques)	26539 (127 uniques)	26539 (118 uniques)	24834 (88 uniques)	24834 (88 uniques)	24834 (60 uniques)	24831 (59 uniques)	24831 (59 uniques)	4999 (55 uniques)	4999 (55 uniques)
29_T	26353	22371	22371	22371 (9685 uniques)	21374 (228 uniques)	19208 (213 uniques)	19176 (193 uniques)	18455 (171 uniques)	18455 (171 uniques)	18455 (131 uniques)	18352 (126 uniques)	18350 (125 uniques)	4999 (114 uniques)	4999 (114 uniques)
29c	31303	27281	27281	27281 (12716 uniques)	26093 (342 uniques)	24745 (335 uniques)	24738 (307 uniques)	24738 (307 uniques)	24738 (307 uniques)	24738 (222 uniques)	24577 (212 uniques)	24577 (212 uniques)	4999 (200 uniques)	4999 (200 uniques)
2_AM21	58012	51517	51517	51517 (22433 uniques)	48578 (852 uniques)	44879 (685 uniques)	44565 (669 uniques)	43776 (643 uniques)	43776 (643 uniques)	43776 (586 uniques)	42846 (567 uniques)	42840 (564 uniques)	4999 (430 uniques)	4999 (430 uniques)
2_MSCAII	29182	24585	24585	24585 (10957 uniques)	23671 (250 uniques)	22292 (274 uniques)	22292 (234 uniques)	21941 (225 uniques)	21941 (225 uniques)	21941 (156 uniques)	21397 (132 uniques)	21387 (127 uniques)	4999 (117 uniques)	4999 (117 uniques)
2c	75233	65791	65791	65791 (26478 uniques)	63719 (566 uniques)	60342 (593 uniques)	60272 (506 uniques)	59730 (484 uniques)	59730 (484 uniques)	59730 (341 uniques)	59082 (306 uniques)	59078 (304 uniques)	4999 (241 uniques)	4999 (241 uniques)
2s	15848	13449	13449	13449 (10071 uniques)	11527 (368 uniques)	7527 (237 uniques)	7527 (230 uniques)	7527 (230 uniques)	7527 (230 uniques)	7527 (196 uniques)	7412 (188 uniques)	7410 (187 uniques)	4999 (187 uniques)	4999 (187 uniques)
30_AM21	117946	103473	103473	103473 (29166 uniques)	100301 (1041 uniques)	95735 (848 uniques)	95416 (816 uniques)	92650 (758 uniques)	92650 (758 uniques)	92650 (670 uniques)	89653 (643 uniques)	89641 (637 uniques)	4999 (352 uniques)	4999 (351 uniques)
30_MSCAII	20558	17392	17392	17392 (6869 uniques)	16994 (91 uniques)	16375 (92 uniques)	16375 (85 uniques)	16012 (78 uniques)	16012 (78 uniques)	16012 (56 uniques)	16012 (56 uniques)	16012 (56 uniques)	4999 (55 uniques)	4999 (55 uniques)
30_T	19161	15270	15270	15270 (5582 uniques)	14671 (140 uniques)	13524 (122 uniques)	13524 (120 uniques)	12886 (106 uniques)	12886 (106 uniques)	12886 (81 uniques)	12785 (74 uniques)	12783 (73 uniques)	4999 (72 uniques)	4999 (71 uniques)
30c	83367	72516	72516	72516 (23227 uniques)	70859 (486 uniques)	68780 (484 uniques)	68759 (431 uniques)	68440 (419 uniques)	68440 (419 uniques)	68440 (297 uniques)	68011 (280 uniques)	68007 (278 uniques)	4999 (194 uniques)	4999 (194 uniques)
31_AM21	112724	98082	98082	98082 (34743 uniques)	94668 (1138 uniques)	88671 (981 uniques)	88497 (949 uniques)	85668 (854 uniques)	85668 (854 uniques)	85668 (753 uniques)	84345 (720 uniques)	84333 (714 uniques)	4999 (403 uniques)	4999 (402 uniques)
31_MSCAII	33957	29120	29120	29120 (11572 uniques)	28360 (258 uniques)	27286 (261 uniques)	27281 (229 uniques)	26957 (216 uniques)	26957 (216 uniques)	26957 (159 uniques)	26843 (150 uniques)	26837 (147 uniques)	4999 (131 uniques)	4999 (131 uniques)
31_T	26422	22888	22888	22888 (9228 uniques)	22239 (184 uniques)	20445 (190 uniques)	20445 (167 uniques)	19297 (139 uniques)	19297 (139 uniques)	19297 (85 uniques)	19297 (85 uniques)	19297 (85 uniques)	4999 (80 uniques)	4999 (80 uniques)
31c	86562	75534	75534	75534 (29110 uniques)	73196 (624 uniques)	68993 (598 uniques)	68965 (539 uniques)	68070 (513 uniques)	68070 (513 uniques)	68070 (357 uniques)	67418 (332 uniques)	67414 (330 uniques)	4999 (257 uniques)	4999 (257 uniques)
32_AM21	90982	80388	80388	80388 (33353 uniques)	77237 (1048 uniques)	70561 (896 uniques)	70463 (859 uniques)	68094 (777 uniques)	68094 (777 uniques)	68094 (651 uniques)	67076 (628 uniques)	67070 (625 uniques)	4999 (419 uniques)	4999 (417 uniques)
32_MSCAII	32668	27872	27872	27872 (12016 uniques)	26838 (253 uniques)	25473 (262 uniques)	25457 (229 uniques)	25204 (218 uniques)	25204 (218 uniques)	25204 (155 uniques)	25086 (144 uniques)	25084 (143 uniques)	4999 (133 uniques)	4999 (133 uniques)
32_T	37614	32977	32977	32977 (13137 uniques)	31871 (320 uniques)	28942 (301 uniques)	28930 (281 uniques)	26995 (232 uniques)	26995 (232 uniques)	26995 (160 uniques)	26884 (154 uniques)	26880 (152 uniques)	4999 (125 uniques)	4999 (125 uniques)
32c	66903	57555	57555	57555 (25708 uniques)	56402 (555 uniques)	53398 (540 uniques)	53357 (501 uniques)	52806 (482 uniques)	52806 (482 uniques)	52806 (365 uniques)	52459 (341 uniques)	52457 (340 uniques)	4999 (270 uniques)	4999 (270 uniques)
33_AM21	70781	61714	61714	61714 (21576 uniques)	58929 (841 uniques)	55167 (672 uniques)	55043 (649 uniques)	53724 (614 uniques)	53724 (614 uniques)	53724 (545 uniques)	50468 (520 uniques)	50460 (516 uniques)	4999 (351 uniques)	4999 (349 uniques)
33_MSCAII	26256	24010	24010	24010 (7399 uniques)	23727 (124 uniques)	23117 (127 uniques)	23117 (111 uniques)	22249 (85 uniques)	22249 (85 uniques)	22249 (59 uniques)	22244 (57 uniques)	22244 (57 uniques)	4999 (56 uniques)	4999 (56 uniques)
33_T	17604	15350	15350	15350 (7292 uniques)	14861 (186 uniques)	13577 (152 uniques)	13577 (143 uniques)	13409 (137 uniques)	13409 (137 uniques)	13409 (102 uniques)	13390 (101 uniques)	13390 (101 uniques)	4999 (98 uniques)	4999 (98 uniques)
33c	72710	63949	63949	63949 (24916 uniques)	61984 (508 uniques)	58614 (551 uniques)	58582 (463 uniques)	57637 (434 uniques)	57637 (434 uniques)	57637 (303 uniques)	56719 (265 uniques)	56717 (264 uniques)	4999 (196 uniques)	4999 (196 uniques)
34_AM21	75871	58829	58829	58829 (24870 uniques)	56128 (935 uniques)	51963 (813 uniques)	51763 (790 uniques)	50764 (745 uniques)	50764 (745 uniques)	50764 (629 uniques)	49256 (608 uniques)	49254 (607 uniques)	4999 (427 uniques)	4999 (426 uniques)
34_MSCAII	31378	26284	26284	26284 (9406 uniques)	25884 (117 uniques)	24801 (113 uniques)	24801 (105 uniques)	23457 (71 uniques)	23457 (71 uniques)	23457 (47 uniques)	23455 (46 uniques)	23455 (46 uniques)	4999 (43 uniques)	4999 (43 uniques)
34_T	35363	31072	31072	31072 (9514 uniques)	30597 (184 uniques)	29279 (173 uniques)	29279 (164 uniques)	28745 (150 uniques)	28745 (150 uniques)	28745 (100 uniques)	28741 (99 uniques)	28741 (99 uniques)	4999 (86 uniques)	4999 (85 uniques)
34c	65408	56851	56851	56851 (25259 uniques)	54419 (601 uniques)	51217 (573 uniques)	51195 (483 uniques)	50922 (469 uniques)	50922 (469 uniques)	50922 (345 uniques)	49711 (303 uniques)	49699 (297 uniques)	4999 (231 uniques)	4999 (231 uniques)
35_AM21	88889	76539	76539	76539 (32332 uniques)	73921 (853 uniques)	67236 (760 uniques)	67185 (727 uniques)	64592 (660 uniques)	64592 (660 uniques)	64592 (531 uniques)	64252 (515 uniques)	64246 (512 uniques)	4999 (337 uniques)	4999 (336 uniques)
35_MSCAII	20767	17622	17622	17622 (8469 uniques)	17254 (127 uniques)	16010 (118 uniques)	16010 (113 uniques)	15021 (88 uniques)	15021 (88 uniques)	15021 (63 uniques)	15016 (62 uniques)	15016 (62 uniques)	4999 (61 uniques)	4999 (61 uniques)
35_T	21028	18395	18395	18395 (6380 uniques)	17843 (152 uniques)	16918 (130 uniques)	16918 (127 uniques)	16659 (120 uniques)	16659 (120 uniques)	16659 (89 uniques)	16638 (87 uniques)	16630 (83 uniques)	4999 (80 uniques)	4999 (80 uniques)
35c	77654	67588	67588	67588 (25423 uniques)	65529 (523 uniques)	62469 (533 uniques)	62414 (451 uniques)	61515 (422 uniques)	61515 (422 uniques)	61515 (294 uniques)	60346 (251 uniques)	60338 (247 uniques)	4999 (196 uniques)	4999 (196 uniques)
36_AM21	98695	86755	86755	86755 (36878 uniques)	83511 (1202 uniques)	76943 (1045 uniques)	76709 (1004 uniques)	73355 (913 uniques)	73355 (913 uniques)	73355 (787 uniques)	71800 (761 uniques)	71786 (754 uniques)	4999 (468 uniques)	4999 (466 uniques)
36_MSCAII	38067	33480	33480	33480 (13208 uniques)	32873 (188 uniques)	31256 (208 uniques)	31256 (185 uniques)	29250 (137 uniques)	29250 (137 uniques)	29250 (81 uniques)	29250 (81 uniques)	29250 (81 uniques)	4999 (71 uniques)	4999 (69 uniques)
36_T	29829	24534	24534	24534 (8671 uniques)	23901 (192 uniques)	22749 (161 uniques)	22749 (158 uniques)	22254 (144 uniques)	22254 (144 uniques)	22254 (109 uniques)	22220 (108 uniques)	22218 (107 uniques)	4999 (95 uniques)	4999 (95 uniques)
36c	48203	42750	42750	42750 (19522 uniques)	41214 (458 uniques)	38822 (412 uniques)	38822 (382 uniques)	38676 (376 uniques)	38676 (376 uniques)	38676 (273 uniques)	38498 (262 uniques)	38488 (257 uniques)	4999 (222 uniques)	4999 (222 uniques)
37_AM21	110445	98664	98664	98664 (35471 uniques)	95270 (1186 uniques)	89232 (988 uniques)	89018 (958 uniques)	86610 (884 uniques)	86610 (884 uniques)	86610 (759 uniques)	84820 (731 uniques)	84810 (726 uniques)	4999 (423 uniques)	4999 (422 uniques)
37_MSCAII	31609	27458	27458	27458 (10888 uniques)	26827 (213 uniques)	25497 (236 uniques)	25497 (208 uniques)	24808 (180 uniques)	24808 (180 uniques)	24808 (118 uniques)	24711 (112 uniques)	24711 (112 uniques)	4999 (102 uniques)	4999 (102 uniques)
37_T	50129	40094	40094	40094 (9884 uniques)	39666 (117 uniques)	38642 (128 uniques)	38642 (119 uniques)	38391 (110 uniques)	38391 (110 uniques)	38391 (66 uniques)	38373 (65 uniques)	38373 (65 uniques)	4999 (51 uniques)	4999 (51 uniques)
37c	67099	54920	54920	54920 (20245 uniques)	54403 (359 uniques)	52970 (348 uniques)	52957 (324 uniques)	52905 (321 uniques)	52905 (321 uniques)	52905 (245 uniques)	52717 (232 uniques)	52713 (230 uniques)	4999 (185 uniques)	4999 (185 uniques)
38_AM21	86949	74379	74379	74379 (36391 uniques)	71249 (1340 uniques)	64925 (1136 uniques)	64812 (1115 uniques)	64019 (1080 uniques)	64019 (1080 uniques)	64019 (907 uniques)	62009 (873 uniques)	61999 (868 uniques)	4999 (576 uniques)	4999 (573 uniques)
38_MSCAII	26465	23095	23095	23095 (9012 uniques)	22499 (181 uniques)	21470 (191 uniques)	21467 (169 uniques)	20943 (149 uniques)	20943 (149 uniques)	20943 (105 uniques)	20825 (96 uniques)	20821 (94 uniques)	4999 (89 uniques)	4999 (89 uniques)
38_T	28815	24931	24931	24931 (9093 uniques)	24199 (191 uniques)	22874 (170 uniques)	22874 (162 uniques)	22503 (153 uniques)	22503 (153 uniques)	22503 (120 uniques)	22400 (113 uniques)	22392 (109 uniques)	4999 (101 uniques)	4999 (101 uniques)
38c	50643	45076	45076	45076 (18246 uniques)	44195 (445 uniques)	42656 (418 uniques)	42656 (389 uniques)	42550 (384 uniques)	42550 (384 uniques)	42550 (302 uniques)	42403 (292 uniques)	42395 (288 uniques)	4999 (240 uniques)	4999 (240 uniques)
39_AM21	70729	63414	63414	63414 (22266 uniques)	61194 (654 uniques)	58146 (571 uniques)	58063 (556 uniques)	56788 (511 uniques)	56788 (511 uniques)	56788 (438 uniques)	56019 (416 uniques)	56015 (414 uniques)	4999 (263 uniques)	4999 (263 uniques)
39_MSCAII	35111	28996	28996	28996 (11044 uniques)	28471 (142 uniques)	27145 (160 uniques)	27145 (142 uniques)	26295 (119 uniques)	26295 (119 uniques)	26295 (81 uniques)	26293 (80 uniques)	26293 (80 uniques)	4999 (75 uniques)	4999 (74 uniques)
39_T	11047	9437	9437	9437 (4099 uniques)	9274 (128 uniques)	8927 (126 uniques)	8927 (122 uniques)	8927 (122 uniques)	8927 (122 uniques)	8927 (94 uniques)	8833 (90 uniques)	8833 (90 uniques)	4999 (89 uniques)	4999 (89 uniques)
39c	70626	62668	62668	62668 (21560 uniques)	62005 (361 uniques)	60484 (382 uniques)	60484 (342 uniques)	59876 (319 uniques)	59876 (319 uniques)	59876 (231 uniques)	59619 (216 uniques)	59619 (216 uniques)	4999 (169 uniques)	4999 (169 uniques)
3_AM21	73783	66164	66164	66164 (23097 uniques)	63775 (591 uniques)	60258 (498 uniques)	60180 (482 uniques)	58285 (419 uniques)	58285 (419 uniques)	58285 (353 uniques)	57855 (338 uniques)	57851 (336 uniques)	4999 (226 uniques)	4999 (226 uniques)
3_MSCAII	30577	26394	26394	26394 (9909 uniques)	25842 (130 uniques)	24727 (116 uniques)	24727 (104 uniques)	23856 (89 uniques)	23856 (89 uniques)	23856 (59 uniques)	23802 (57 uniques)	23802 (57 uniques)	4999 (51 uniques)	4999 (51 uniques)
3c	51005	44135	44135	44135 (21343 uniques)	42353 (536 uniques)	39119 (482 uniques)	39113 (443 uniques)	38647 (429 uniques)	38647 (429 uniques)	38647 (329 uniques)	38140 (302 uniques)	38126 (295 uniques)	4999 (260 uniques)	4999 (260 uniques)
3s	11111	9102	9102	9102 (7431 uniques)	7344 (237 uniques)	4475 (147 uniques)	4475 (146 uniques)	4475 (146 uniques)	4475 (146 uniques)	4475 (128 uniques)	4453 (124 uniques)	4453 (124 uniques)	/	/
40_AM21	47984	43014	43014	43014 (20008 uniques)	40729 (775 uniques)	37238 (617 uniques)	37092 (598 uniques)	36654 (580 uniques)	36654 (580 uniques)	36654 (504 uniques)	35880 (479 uniques)	35872 (475 uniques)	4999 (381 uniques)	4999 (380 uniques)
40_MSCAII	29655	25977	25977	25977 (9584 uniques)	25634 (140 uniques)	24477 (152 uniques)	24477 (130 uniques)	23722 (107 uniques)	23722 (107 uniques)	23722 (73 uniques)	23722 (73 uniques)	23722 (73 uniques)	4999 (65 uniques)	4999 (65 uniques)
40_T	29767	15477	15477	15477 (5830 uniques)	15260 (182 uniques)	14938 (184 uniques)	14938 (176 uniques)	14938 (176 uniques)	14938 (176 uniques)	14938 (131 uniques)	14786 (123 uniques)	14786 (123 uniques)	4999 (119 uniques)	4999 (118 uniques)
40c	62790	54009	54009	54009 (26804 uniques)	51364 (630 uniques)	47061 (554 uniques)	47051 (514 uniques)	45970 (486 uniques)	45970 (486 uniques)	45970 (379 uniques)	45605 (359 uniques)	45583 (348 uniques)	4999 (285 uniques)	4999 (285 uniques)
41_MSCAII	29306	24606	24606	24606 (9605 uniques)	24193 (147 uniques)	23092 (165 uniques)	23092 (147 uniques)	21786 (116 uniques)	21786 (116 uniques)	21786 (74 uniques)	21786 (74 uniques)	21786 (74 uniques)	4999 (69 uniques)	4999 (68 uniques)
41_T	39054	33972	33972	33972 (15979 uniques)	32793 (297 uniques)	30381 (294 uniques)	30381 (270 uniques)	29703 (246 uniques)	29703 (246 uniques)	29703 (175 uniques)	29547 (162 uniques)	29545 (161 uniques)	4999 (146 uniques)	4999 (146 uniques)
41c	70186	59966	59966	59966 (28938 uniques)	57674 (631 uniques)	53367 (640 uniques)	53354 (575 uniques)	52529 (548 uniques)	52529 (548 uniques)	52529 (382 uniques)	52133 (362 uniques)	52126 (358 uniques)	4999 (297 uniques)	4999 (297 uniques)
42_MSCAII	29707	25229	25229	25229 (10562 uniques)	24677 (142 uniques)	23330 (156 uniques)	23330 (141 uniques)	22222 (119 uniques)	22222 (119 uniques)	22222 (77 uniques)	22222 (77 uniques)	22222 (77 uniques)	4999 (72 uniques)	4999 (71 uniques)
42_T	23093	19780	19780	19780 (9134 uniques)	19217 (210 uniques)	18298 (191 uniques)	18298 (179 uniques)	18278 (178 uniques)	18278 (178 uniques)	18278 (139 uniques)	18183 (132 uniques)	18181 (131 uniques)	4999 (123 uniques)	4999 (123 uniques)
42c	58515	51234	51234	51234 (20759 uniques)	50535 (405 uniques)	48815 (387 uniques)	48787 (353 uniques)	48618 (344 uniques)	48618 (344 uniques)	48618 (265 uniques)	48453 (253 uniques)	48453 (253 uniques)	4999 (199 uniques)	4999 (199 uniques)
43_MSCAII	35236	30180	30180	30180 (11855 uniques)	29452 (226 uniques)	28113 (249 uniques)	28113 (223 uniques)	26931 (193 uniques)	26931 (193 uniques)	26931 (133 uniques)	26842 (127 uniques)	26840 (126 uniques)	4999 (116 uniques)	4999 (115 uniques)
43_T	30030	26406	26406	26406 (11822 uniques)	25270 (239 uniques)	23828 (224 uniques)	23828 (206 uniques)	23683 (200 uniques)	23683 (200 uniques)	23683 (146 uniques)	23458 (132 uniques)	23454 (130 uniques)	4999 (117 uniques)	4999 (117 uniques)
43c	70319	60494	60494	60494 (22999 uniques)	59035 (425 uniques)	56623 (454 uniques)	56611 (385 uniques)	55966 (366 uniques)	55966 (366 uniques)	55966 (250 uniques)	55421 (224 uniques)	55411 (219 uniques)	4999 (160 uniques)	4999 (160 uniques)
44_MSCAII	25396	20467	20467	20467 (9018 uniques)	19857 (190 uniques)	18740 (199 uniques)	18740 (177 uniques)	18544 (167 uniques)	18544 (167 uniques)	18544 (118 uniques)	18423 (110 uniques)	18423 (110 uniques)	4999 (104 uniques)	4999 (104 uniques)
44_T	44303	38497	38497	38497 (15681 uniques)	37444 (322 uniques)	35489 (309 uniques)	35489 (285 uniques)	34816 (258 uniques)	34816 (258 uniques)	34816 (185 uniques)	34592 (163 uniques)	34590 (162 uniques)	4999 (134 uniques)	4999 (134 uniques)
44c	84257	73979	73979	73979 (25747 uniques)	73024 (398 uniques)	70096 (437 uniques)	70028 (392 uniques)	67558 (319 uniques)	67558 (319 uniques)	67558 (207 uniques)	67538 (202 uniques)	67538 (202 uniques)	4999 (150 uniques)	4999 (148 uniques)
45_MSCAII	32504	27870	27870	27870 (10706 uniques)	27423 (152 uniques)	26331 (151 uniques)	26331 (137 uniques)	25285 (105 uniques)	25285 (105 uniques)	25285 (78 uniques)	25279 (76 uniques)	25279 (76 uniques)	4999 (66 uniques)	4999 (66 uniques)
45_T	42794	36951	36951	36951 (15120 uniques)	35929 (280 uniques)	34155 (269 uniques)	34155 (244 uniques)	33507 (220 uniques)	33507 (220 uniques)	33507 (155 uniques)	33372 (143 uniques)	33366 (140 uniques)	4999 (123 uniques)	4999 (123 uniques)
45c	57445	49730	49730	49730 (19082 uniques)	48949 (326 uniques)	46660 (354 uniques)	46503 (313 uniques)	45954 (289 uniques)	45954 (289 uniques)	45954 (187 uniques)	45857 (180 uniques)	45851 (177 uniques)	4999 (142 uniques)	4999 (142 uniques)
46_MSCAII	31340	27549	27549	27549 (10104 uniques)	27006 (138 uniques)	26047 (153 uniques)	26047 (138 uniques)	25279 (115 uniques)	25279 (115 uniques)	25279 (77 uniques)	25279 (77 uniques)	25279 (77 uniques)	4999 (66 uniques)	4999 (66 uniques)
46_T	53510	45837	45837	45837 (19171 uniques)	44400 (341 uniques)	41562 (325 uniques)	41562 (298 uniques)	40747 (266 uniques)	40747 (266 uniques)	40747 (183 uniques)	40536 (172 uniques)	40532 (170 uniques)	4999 (143 uniques)	4999 (143 uniques)
46c	82019	70212	70212	70212 (18949 uniques)	69496 (286 uniques)	67189 (265 uniques)	67103 (246 uniques)	66298 (226 uniques)	66298 (226 uniques)	66298 (161 uniques)	66223 (154 uniques)	66221 (153 uniques)	4999 (111 uniques)	4999 (111 uniques)
47_AM21	73910	63211	63211	63211 (29829 uniques)	60270 (1057 uniques)	54663 (882 uniques)	54508 (857 uniques)	53660 (825 uniques)	53660 (825 uniques)	53660 (700 uniques)	53008 (673 uniques)	52994 (666 uniques)	4999 (483 uniques)	4999 (481 uniques)
