	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_97	9-TaxaFilter_97	10-MultipletonsFilter_97	11-Subsampling_97	12-Lulu_97
100c	49494	42475	42475	42475 (15760 uniques)	41717 (253 uniques)	39815 (283 uniques)	39773 (254 uniques)	38798 (222 uniques)	38798 (222 uniques)	38798 (136 uniques)	38790 (134 uniques)	38790 (134 uniques)	4999 (119 uniques)	4999 (119 uniques)
101c	43275	35301	35301	35301 (15959 uniques)	33610 (376 uniques)	31685 (390 uniques)	30903 (308 uniques)	30389 (291 uniques)	30389 (291 uniques)	30389 (213 uniques)	29865 (186 uniques)	29859 (183 uniques)	4999 (160 uniques)	4999 (160 uniques)
102c	34475	30025	30025	30025 (10772 uniques)	29538 (165 uniques)	28241 (209 uniques)	28241 (181 uniques)	27664 (159 uniques)	27664 (159 uniques)	27664 (99 uniques)	27661 (98 uniques)	27661 (98 uniques)	4999 (92 uniques)	4999 (91 uniques)
103c	32651	29545	29545	29545 (10676 uniques)	28917 (242 uniques)	27581 (254 uniques)	27577 (235 uniques)	26940 (209 uniques)	26940 (209 uniques)	26940 (140 uniques)	26881 (134 uniques)	26881 (134 uniques)	4999 (112 uniques)	4999 (111 uniques)
104c	39642	34250	34250	34250 (13147 uniques)	33491 (258 uniques)	31089 (251 uniques)	31089 (230 uniques)	30035 (196 uniques)	30035 (196 uniques)	30035 (143 uniques)	30019 (142 uniques)	30017 (141 uniques)	4999 (121 uniques)	4999 (120 uniques)
105c	22062	19601	19601	19601 (9939 uniques)	18588 (334 uniques)	17434 (292 uniques)	17315 (269 uniques)	17234 (266 uniques)	17234 (266 uniques)	17234 (219 uniques)	17073 (202 uniques)	17059 (195 uniques)	4999 (186 uniques)	4999 (186 uniques)
106c	38758	34423	34423	34423 (15865 uniques)	32610 (405 uniques)	30549 (386 uniques)	30461 (334 uniques)	30137 (327 uniques)	30137 (327 uniques)	30137 (242 uniques)	29306 (203 uniques)	29302 (201 uniques)	4999 (174 uniques)	4999 (174 uniques)
107c	69760	61012	61012	61012 (26647 uniques)	58541 (548 uniques)	54470 (556 uniques)	54371 (472 uniques)	53259 (436 uniques)	53259 (436 uniques)	53259 (310 uniques)	52420 (271 uniques)	52410 (266 uniques)	4999 (203 uniques)	4999 (203 uniques)
108c	60185	52556	52556	52556 (18545 uniques)	51874 (256 uniques)	49386 (274 uniques)	49357 (240 uniques)	48099 (205 uniques)	48099 (205 uniques)	48099 (113 uniques)	48059 (108 uniques)	48059 (108 uniques)	4999 (90 uniques)	4999 (89 uniques)
109c	47280	41878	41878	41878 (15218 uniques)	41031 (276 uniques)	38849 (296 uniques)	38826 (273 uniques)	35713 (209 uniques)	35713 (209 uniques)	35713 (154 uniques)	35707 (153 uniques)	35705 (152 uniques)	4999 (127 uniques)	4999 (127 uniques)
10_AM21	76515	67612	67612	67612 (21855 uniques)	65072 (754 uniques)	61566 (604 uniques)	61352 (588 uniques)	60118 (547 uniques)	60118 (547 uniques)	60118 (479 uniques)	59516 (462 uniques)	59510 (459 uniques)	4999 (321 uniques)	4999 (321 uniques)
10_MSCAII	15358	13812	13812	13812 (6456 uniques)	13415 (174 uniques)	12873 (171 uniques)	12852 (155 uniques)	12783 (153 uniques)	12783 (153 uniques)	12783 (118 uniques)	12735 (114 uniques)	12733 (113 uniques)	4999 (108 uniques)	4999 (108 uniques)
10_T	27439	23403	23403	23403 (8998 uniques)	22778 (157 uniques)	21186 (155 uniques)	21186 (135 uniques)	20480 (122 uniques)	20480 (122 uniques)	20480 (76 uniques)	20480 (76 uniques)	20480 (76 uniques)	4999 (68 uniques)	4999 (68 uniques)
10c	51938	46756	46756	46756 (20088 uniques)	45299 (468 uniques)	42849 (444 uniques)	42829 (412 uniques)	40944 (356 uniques)	40944 (356 uniques)	40944 (255 uniques)	40724 (241 uniques)	40716 (237 uniques)	4999 (194 uniques)	4999 (194 uniques)
10s	22144	19243	19243	19243 (14773 uniques)	16086 (496 uniques)	10440 (325 uniques)	10440 (316 uniques)	10440 (316 uniques)	10440 (316 uniques)	10440 (266 uniques)	10424 (262 uniques)	10410 (255 uniques)	4999 (255 uniques)	4999 (255 uniques)
110c	45326	39569	39569	39569 (17862 uniques)	38132 (364 uniques)	35779 (379 uniques)	35779 (321 uniques)	35465 (309 uniques)	35465 (309 uniques)	35465 (216 uniques)	35234 (200 uniques)	35232 (199 uniques)	4999 (176 uniques)	4999 (176 uniques)
111c	27202	22515	22515	22515 (9639 uniques)	21961 (159 uniques)	20451 (157 uniques)	20451 (146 uniques)	19864 (125 uniques)	19864 (125 uniques)	19864 (87 uniques)	19864 (87 uniques)	19862 (86 uniques)	4999 (82 uniques)	4999 (82 uniques)
112c	35420	29517	29517	29517 (10109 uniques)	28949 (172 uniques)	27659 (180 uniques)	27659 (164 uniques)	26943 (132 uniques)	26943 (132 uniques)	26943 (91 uniques)	26943 (91 uniques)	26943 (91 uniques)	4999 (82 uniques)	4999 (82 uniques)
113c	45694	40712	40712	40712 (16462 uniques)	39261 (319 uniques)	37183 (350 uniques)	37166 (291 uniques)	36619 (279 uniques)	36619 (279 uniques)	36619 (190 uniques)	36231 (168 uniques)	36223 (164 uniques)	4999 (132 uniques)	4999 (132 uniques)
114c	45756	38276	38276	38276 (13982 uniques)	37603 (184 uniques)	35926 (214 uniques)	35913 (181 uniques)	35153 (161 uniques)	35153 (161 uniques)	35153 (96 uniques)	35120 (91 uniques)	35120 (91 uniques)	4999 (76 uniques)	4999 (76 uniques)
115c	53640	46602	46602	46602 (18672 uniques)	45123 (366 uniques)	42754 (401 uniques)	42724 (343 uniques)	41923 (322 uniques)	41923 (322 uniques)	41923 (232 uniques)	41209 (203 uniques)	41207 (202 uniques)	4999 (176 uniques)	4999 (175 uniques)
116c	58271	50785	50785	50785 (18355 uniques)	50052 (258 uniques)	46969 (317 uniques)	46967 (281 uniques)	45317 (232 uniques)	45317 (232 uniques)	45317 (124 uniques)	45309 (122 uniques)	45305 (120 uniques)	4999 (95 uniques)	4999 (95 uniques)
117c	57629	49907	49907	49907 (22260 uniques)	48265 (414 uniques)	45048 (426 uniques)	45035 (360 uniques)	44086 (329 uniques)	44086 (329 uniques)	44086 (226 uniques)	43733 (207 uniques)	43723 (202 uniques)	4999 (170 uniques)	4999 (170 uniques)
118c	40014	35672	35672	35672 (13456 uniques)	35164 (203 uniques)	33468 (232 uniques)	33455 (206 uniques)	32750 (173 uniques)	32750 (173 uniques)	32750 (112 uniques)	32734 (109 uniques)	32732 (108 uniques)	4999 (95 uniques)	4999 (95 uniques)
119c	32411	27874	27874	27874 (9422 uniques)	27343 (150 uniques)	26194 (158 uniques)	26194 (140 uniques)	25532 (120 uniques)	25532 (120 uniques)	25532 (81 uniques)	25532 (81 uniques)	25530 (80 uniques)	4999 (76 uniques)	4999 (76 uniques)
11_AM21	88672	78555	78555	78555 (22883 uniques)	75859 (810 uniques)	72058 (682 uniques)	71942 (655 uniques)	70419 (605 uniques)	70419 (605 uniques)	70419 (527 uniques)	69924 (502 uniques)	69916 (498 uniques)	4999 (294 uniques)	4999 (293 uniques)
11_MSCAII	4382	3784	3784	3784 (1678 uniques)	3684 (69 uniques)	3613 (74 uniques)	3579 (68 uniques)	3579 (68 uniques)	3579 (68 uniques)	3579 (57 uniques)	3371 (50 uniques)	3369 (49 uniques)	/	/
