Experiment Name:,TURNT_Plate2_6_16_22_GATED

Tube Name:,Sample ID:,Volume(μL):,All Events ,Include Events,HBacteria Events,PEukaryote Events,Synococcus Events,Prochlorococcus Events,All Events  Mean Chla-A,Include Mean Chla-A,HBacteria Mean Chla-A,PEukaryote Mean Chla-A,Synococcus Mean Chla-A,Prochlorococcus Mean Chla-A
01-Well-F9,,75.1,162054,111515,106461,23,343,427,223.1,265.0,26.2,264357.0,30614.3,2803.2
01-Well-F10,,75.0,160564,109905,104621,21,342,259,222.9,212.4,29.7,168430.3,26277.0,2067.5
01-Well-F11,,75.0,130273,86360,81751,29,372,297,259.8,278.8,34.0,196032.9,27712.2,2101.2
01-Well-F12,,75.0,168753,114105,108922,26,334,211,263.9,244.7,28.3,124279.4,23101.7,1770.8
01-Well-G1,,75.0,170918,116019,110917,25,348,378,263.5,220.3,25.3,184634.4,27597.5,2941.6
01-Well-G2,,75.0,155632,104473,99022,25,310,269,217.1,203.7,32.8,163120.5,31773.4,2419.2
01-Well-G3,,75.0,114002,73317,67962,31,284,347,402.8,518.8,28.4,187569.3,38720.5,2981.4
01-Well-G4,,75.1,114051,75444,70963,27,289,332,268.8,302.3,25.7,163147.7,45598.5,3040.4
01-Well-G5,,75.0,160835,107891,102645,29,334,204,230.0,277.1,30.4,118062.4,23394.6,1928.5
01-Well-G6,,75.1,106060,67770,63340,21,309,319,424.8,393.7,29.5,220257.6,44469.6,2928.1
01-Well-G7,,75.1,92652,55889,43113,37,26,62,332.5,474.6,19.3,161411.6,31388.2,2545.5
01-Well-G8,,75.1,90188,53222,48808,28,448,518,692.7,697.5,46.2,205901.9,37237.9,3850.5
01-Well-G9,,75.0,35097,5373,3188,0,106,91,192.2,580.8,70.9,####,10579.0,4008.6
01-Well-G10,,75.0,16616,1569,1004,2,8,6,187.1,544.2,86.1,66373.0,25572.4,3688.0
01-Well-G11,,75.1,16825,1393,841,1,9,6,705.7,985.5,84.0,50502.7,38941.8,4142.6
01-Well-G12,,75.0,15936,1140,680,0,11,4,217.8,987.6,87.3,####,18431.2,5805.1
01-Well-H1,,75.3,15033,1376,819,0,7,15,924.0,2076.1,73.3,####,16454.2,8982.4
01-Well-H2,,75.1,14270,1287,742,0,3,24,338.4,1940.1,110.5,####,8927.0,7774.7
01-Well-H3,,75.0,13481,981,551,0,3,26,400.7,2850.3,100.0,####,11981.0,7893.2
01-Well-H4,,75.5,13203,900,475,0,6,20,1631.8,2846.7,92.3,####,8913.1,8663.0
