"Sample"	"3.1-Dereplication"	"3.2-Denoising"	"4-ESV"
"58c"	"27740 (10732 uniques)"	"27082 (224 uniques)"	"25430 (222 uniques)"
"59_AM21"	"92385 (20595 uniques)"	"89658 (789 uniques)"	"86998 (627 uniques)"
"59_T"	"26246 (10797 uniques)"	"25660 (184 uniques)"	"23667 (218 uniques)"
"59c"	"11161 (4708 uniques)"	"10840 (124 uniques)"	"10432 (115 uniques)"
"5_AM21"	"48112 (12037 uniques)"	"47700 (331 uniques)"	"47049 (296 uniques)"
"5_MSCAII"	"25274 (10877 uniques)"	"24717 (257 uniques)"	"23667 (264 uniques)"
"5c"	"83210 (30349 uniques)"	"80953 (557 uniques)"	"76535 (589 uniques)"
"5s"	"28772 (19197 uniques)"	"26040 (700 uniques)"	"20327 (514 uniques)"
"60_AM21"	"89509 (28117 uniques)"	"87023 (822 uniques)"	"83065 (720 uniques)"
"60_T"	"27922 (11286 uniques)"	"27207 (207 uniques)"	"25460 (242 uniques)"
"60c"	"13464 (5319 uniques)"	"13077 (148 uniques)"	"12531 (123 uniques)"
"61_AM21"	"74782 (24664 uniques)"	"72273 (919 uniques)"	"67909 (753 uniques)"
"61_T"	"40326 (15032 uniques)"	"39632 (249 uniques)"	"37319 (324 uniques)"
"61c"	"17756 (6480 uniques)"	"17335 (150 uniques)"	"16773 (144 uniques)"
"62_AM21"	"50423 (12588 uniques)"	"50185 (328 uniques)"	"49708 (316 uniques)"
"62_T"	"26169 (11064 uniques)"	"25618 (211 uniques)"	"24026 (197 uniques)"
"62c"	"22588 (9742 uniques)"	"21670 (273 uniques)"	"20532 (266 uniques)"
"63_AM21"	"80560 (25791 uniques)"	"77587 (815 uniques)"	"73034 (647 uniques)"
"63_T"	"18988 (3275 uniques)"	"18766 (67 uniques)"	"18534 (49 uniques)"
"63c"	"33715 (14347 uniques)"	"32583 (332 uniques)"	"30677 (364 uniques)"
"64_AM21"	"93768 (26769 uniques)"	"91201 (778 uniques)"	"87092 (678 uniques)"
