sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
23_AM21	1736	81	145	141	167	174	116	106	115	87	65	85	52	39	26	23	4	6
23_MSCAII	372	44	63	81	67	39	34	59	27	22	22	16	10	3	2	3	0	0
23_T	415	57	81	68	91	71	50	52	28	36	28	27	12	12	5	3	0	1
23c	875	149	111	100	80	89	71	74	63	53	42	34	22	26	10	3	1	2
24_AM21	1477	62	113	94	110	142	120	79	102	86	82	56	42	33	17	16	5	6
24_MSCAII	371	93	109	101	91	63	39	41	15	30	19	13	11	8	3	2	0	0
24_T	458	47	97	81	82	74	64	73	24	37	20	16	11	12	7	3	0	0
24c	937	63	62	72	56	71	62	64	62	42	41	26	25	19	7	8	1	3
25_AM21	1557	76	102	102	114	121	98	104	108	84	69	74	44	44	22	13	6	3
25_MSCAII	450	91	69	33	25	40	36	34	26	19	19	12	14	7	4	4	3	1
25_T	298	34	52	46	47	46	38	30	19	17	19	16	10	6	0	0	0	0
25c	1099	150	135	136	84	114	114	87	51	67	54	50	46	35	15	11	1	2
26_AM21	1299	74	147	113	130	91	85	70	79	75	51	53	36	24	10	12	3	5
26_MSCAII	353	59	46	28	15	35	48	22	18	12	13	6	12	10	0	2	1	1
26_T	241	24	38	29	38	42	23	32	14	16	11	11	8	4	5	3	0	0
26c	870	106	88	77	73	83	89	69	44	66	44	43	32	16	17	17	2	1
27_AM21	1377	81	153	128	104	95	93	82	76	83	59	51	40	38	14	11	3	7
27_MSCAII	198	22	20	24	24	23	28	19	10	11	11	6	4	4	1	1	0	1
27_T	296	28	46	41	28	30	24	33	18	22	15	16	6	6	2	2	2	1
27c	688	119	113	80	50	57	54	50	43	32	26	29	14	13	13	4	2	1
28_AM21	1526	63	105	82	100	98	92	76	73	77	52	51	33	38	19	12	6	2
28_MSCAII	251	30	36	36	35	25	27	35	13	17	17	10	13	4	3	1	0	0
28_T	428	63	85	74	94	72	47	69	43	34	23	15	8	13	5	7	2	1
28c	652	65	59	46	37	41	37	35	33	32	22	19	23	11	6	7	1	1
29_AM21	1606	92	187	191	182	153	141	112	124	96	94	82	50	33	26	4	3	6
29_MSCAII	277	24	23	37	48	42	28	26	15	18	17	8	9	2	1	1	0	1
29_T	375	45	78	57	47	67	38	45	25	26	21	19	13	13	4	0	0	0
29c	389	61	63	38	24	37	35	35	9	17	20	11	13	5	3	4	1	0
2_AM21	1136	41	62	52	76	70	78	63	54	57	54	52	31	33	11	9	3	5
2_MSCAII	325	70	54	32	17	24	33	21	9	12	11	10	7	3	3	2	0	2
2c	769	145	119	83	82	77	87	64	40	41	29	22	17	17	2	7	2	0
2s	426	28	23	22	37	38	40	39	46	45	34	23	27	17	11	6	0	1
30_AM21	1291	85	94	112	100	98	76	81	75	72	52	52	52	31	20	12	4	2
30_MSCAII	185	17	17	12	18	19	12	17	5	6	14	7	8	4	0	1	0	0
30_T	205	14	48	26	28	32	24	34	15	9	8	8	5	3	2	1	4	3
30c	553	99	68	60	51	64	56	40	26	30	17	25	20	9	4	8	2	1
31_AM21	1576	110	163	149	133	101	90	135	116	105	76	73	57	33	26	17	6	3
31_MSCAII	305	63	38	18	13	21	27	14	4	12	8	6	8	4	4	2	3	0
31_T	293	59	76	51	51	60	53	49	23	22	25	11	3	10	2	1	0	1
31c	846	140	121	107	86	104	103	82	48	54	42	39	28	12	6	6	3	3
32_AM21	1535	126	184	165	197	150	138	136	125	117	87	76	65	46	28	12	9	6
32_MSCAII	357	59	42	17	16	29	25	18	5	13	11	10	9	9	5	2	0	0
32_T	502	69	116	85	90	86	88	74	46	37	29	22	15	12	3	6	2	0
32c	728	82	83	70	64	65	71	41	37	42	44	27	18	16	6	3	1	2
33_AM21	1028	62	93	83	66	72	75	72	55	48	47	30	25	25	13	12	5	2
33_MSCAII	148	32	16	10	15	15	14	16	14	6	8	4	3	0	1	0	0	0
33_T	262	21	43	20	19	41	23	30	23	16	8	8	6	5	3	7	1	0
33c	682	148	110	52	61	67	62	49	38	31	27	31	25	14	9	7	1	2
34_AM21	1229	75	133	110	153	109	99	82	73	66	61	57	29	28	15	15	1	3
34_MSCAII	172	24	28	12	12	26	30	22	20	9	12	9	5	2	1	1	1	1
34_T	233	34	54	35	41	48	36	40	19	19	10	9	8	6	1	1	0	1
34c	778	139	103	65	64	71	58	37	26	26	34	32	14	23	11	11	2	3
35_AM21	1339	119	212	196	204	193	165	144	129	119	85	77	48	40	12	15	1	2
35_MSCAII	259	27	26	33	29	44	34	30	21	27	24	7	8	7	2	1	0	0
35_T	185	16	41	20	37	30	19	24	6	15	11	4	8	4	2	2	0	0
35c	723	137	105	53	56	63	53	37	34	40	35	22	14	12	7	7	1	0
